Ligne;Direction;Description;Séquence;Arrêt;Description;Distance Inter-Arrêts
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;10.0;SLOUIS_1;St Louis;346.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;1.0;ASDF_1/2;ARTIGUELOUTAN Salle des Fêtes;0.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;13.0;BELSUN_E;Belsunce;488.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;3.0;POUSSI_1;Poussinière;394.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;14.0;IMAIRI_1;IDRON Mairie;553.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;9.0;ARMAND_1;Armandieu;691.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;17.0;BBSOLE_1;BIZANOS Beau Soleil;679.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;15.0;ARROUT_1;Arrouturous;525.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;21.0;SANSAR_1;Sansarricq;249.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;19.0;PANORA_N;Panorama;118.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;25.0;REGINA_1;Régina;401.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;20.0;SBENOI_1;St Benoît;589.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;26.0;SURSUL_1;Ste Ursule;275.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;23.0;CDLARR_1;Castet de l'Array;376.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;29.0;FAISAN_1;Faisans;429.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;31.0;LHMEDI_N;Les Halles Médiathèque;448.0
7;1.0;ARTIGUELOUTAN Salle des Fêtes > LESCAR Soleil;30.0;BOSQQC_C;PAU Bosquet Quai C;389.0
